종목,월,방향,손절선(%),손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,1,위,-6.0,가능,전체,11,0,-15.96,-1.45,45.45,0.527,65.47,6,3.7,-6.0,4.09,0,3,5.91,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,-6.0,가능,앞 절반,5,0,1.3,0.26,60.0,0.789,55.89,2,3.7,-6.0,4.02,0,1,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,-6.0,가능,뒤 절반,6,0,-17.27,-2.88,33.33,0.386,72.14,4,2.82,-6.0,3.9,0,2,4.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,-6.0,가능,최근 10년,10,0,-17.09,-1.71,40.0,0.6,62.49,6,3.7,-6.0,4.22,0,3,5.8,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,-6.0,가능,최근 5년,5,0,-12.76,-2.55,40.0,0.367,73.16,3,2.82,-6.0,4.27,0,2,4.4,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,위,-7.0,가능,전체,11,0,14.96,1.36,54.55,1.354,42.48,5,26.39,-7.0,9.22,0,1,6.64,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,-7.0,가능,앞 절반,5,0,0.84,0.17,60.0,0.741,57.45,2,3.7,-6.46,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,-7.0,가능,뒤 절반,6,0,14.12,2.35,50.0,1.861,34.95,3,26.39,-7.0,12.38,0,1,6.17,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,-7.0,가능,최근 10년,10,0,13.84,1.38,50.0,1.578,38.79,5,26.39,-7.0,9.72,0,1,6.6,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,-7.0,가능,최근 5년,5,0,18.62,3.72,60.0,1.71,36.89,2,26.39,-7.0,13.32,0,1,6.0,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,위,-8.0,가능,전체,11,0,13.96,1.27,54.55,1.3,43.49,5,26.39,-8.0,9.31,0,1,6.64,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,-8.0,가능,앞 절반,5,0,0.84,0.17,60.0,0.741,57.45,2,3.7,-6.46,4.2,0,0,7.2,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,-8.0,가능,뒤 절반,6,0,13.12,2.19,50.0,1.754,36.31,3,26.39,-8.0,12.53,0,1,6.17,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,-8.0,가능,최근 10년,10,0,12.84,1.28,50.0,1.515,39.77,5,26.39,-8.0,9.82,0,1,6.6,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,-8.0,가능,최근 5년,5,0,17.62,3.52,60.0,1.578,38.79,2,26.39,-8.0,13.53,0,1,6.0,아니오,2022-01-20,2026-01-20
