날짜,종가,NAV,괴리율
2020-02-28,10695,10695.23,-0.0
2020-03-02,10325,10326.15,-0.01
2020-03-03,10355,10351.94,0.03
2020-03-04,10225,10212.54,0.12
2020-03-05,10120,10136.87,-0.17
2020-03-06,10305,10303.31,0.02
2020-03-09,10510,10521.08,-0.11
2020-03-10,10315,10303.33,0.11
2020-03-11,10340,10352.56,-0.12
2020-03-12,10555,10543.9,0.11
2020-03-13,10700,10748.97,-0.46
2020-03-16,10885,10874.16,0.1
2020-03-17,11195,11194.99,0.0
2020-03-18,11300,11247.79,0.46
2020-03-19,12005,11931.08,0.62
2020-03-20,11205,11236.17,-0.28
2020-03-23,11570,11573.14,-0.03
2020-03-24,11255,11258.48,-0.03
2020-03-25,10915,10893.45,0.2
2020-03-26,11010,10980.85,0.27
2020-03-27,10585,10611.69,-0.25
2020-03-30,10845,10871.14,-0.24
2020-03-31,10735,10725.97,0.08
2020-04-01,10965,10950.46,0.13
2020-04-02,10930,10925.68,0.04
2020-04-03,10990,11004.53,-0.13
2020-04-06,10950,10951.17,-0.01
2020-04-07,10795,10799.18,-0.04
2020-04-08,10810,10838.07,-0.26
2020-04-09,10780,10773.41,0.06
2020-04-10,10585,10623.52,-0.36
2020-04-13,10745,10722.84,0.21
2020-04-14,10735,10733.04,0.02
2020-04-16,10920,10944.12,-0.22
2020-04-17,10750,10743.62,0.06
2020-04-20,10790,10793.05,-0.03
2020-04-21,10935,10957.91,-0.21
2020-04-22,10990,11024.51,-0.31
2020-04-23,10945,10961.35,-0.15
2020-04-24,11065,11064.45,0.0
2020-04-27,10885,10901.39,-0.15
2020-04-28,10885,10883.24,0.02
2020-04-29,10760,10768.95,-0.08
2020-05-04,10955,10943.29,0.11
2020-05-06,10825,10835.48,-0.1
2020-05-07,10870,10891.62,-0.2
2020-05-08,10775,10797.38,-0.21
2020-05-11,10785,10806.46,-0.2
2020-05-12,10885,10896.45,-0.11
2020-05-13,10870,10880.46,-0.1
2020-05-14,10925,10942.59,-0.16
2020-05-15,10980,10981.48,-0.01
2020-05-18,11015,10998.09,0.15
2020-05-19,10875,10870.32,0.04
2020-05-20,10955,10963.52,-0.08
2020-05-21,10970,10971.27,-0.01
2020-05-22,11080,11113.33,-0.3
2020-05-25,11210,11226.29,-0.15
2020-05-26,11040,11047.32,-0.07
2020-05-27,11035,11048.49,-0.12
2020-05-28,11125,11151.69,-0.24
2020-05-29,11110,11117.44,-0.07
2020-06-01,10870,10890.94,-0.19
2020-06-02,10880,10886.01,-0.06
2020-06-03,10735,10716.6,0.17
2020-06-04,10760,10775.2,-0.14
2020-06-05,10570,10573.33,-0.03
2020-06-08,10525,10516.83,0.08
2020-06-09,10390,10388.9,0.01
2020-06-10,10280,10290.39,-0.1
2020-06-11,10360,10374.74,-0.14
2020-06-12,10505,10512.05,-0.07
2020-06-15,10725,10729.61,-0.04
2020-06-16,10550,10566.28,-0.15
2020-06-17,10685,10689.16,-0.04
2020-06-18,10580,10587.09,-0.07
2020-06-19,10615,10590.04,0.24
2020-06-22,10695,10709.59,-0.14
2020-06-23,10615,10597.77,0.16
2020-06-24,10430,10438.36,-0.08
2020-06-25,10520,10527.57,-0.07
2020-06-26,10445,10451.25,-0.06
2020-06-29,10420,10419.57,0.0
2020-06-30,10475,10475.63,-0.01
2020-07-01,10500,10502.97,-0.03
2020-07-02,10440,10441.37,-0.01
2020-07-03,10415,10418.43,-0.03
2020-07-06,10365,10356.14,0.09
2020-07-07,10365,10363.74,0.01
2020-07-08,10350,10353.71,-0.04
2020-07-09,10360,10365.56,-0.05
2020-07-10,10510,10513.76,-0.04
2020-07-13,10440,10453.09,-0.13
2020-07-14,10525,10539.95,-0.14
2020-07-15,10435,10444.85,-0.09
2020-07-16,10530,10525.73,0.04
2020-07-17,10530,10545.87,-0.15
2020-07-20,10485,10492.16,-0.07
2020-07-21,10400,10393.91,0.06
2020-07-22,10335,10339.65,-0.04
2020-07-23,10375,10391.47,-0.16
2020-07-24,10445,10481.26,-0.35
2020-07-27,10355,10366.19,-0.11
2020-07-28,10390,10400.05,-0.1
2020-07-29,10320,10331.47,-0.11
2020-07-30,10330,10335.41,-0.05
2020-07-31,10265,10279.39,-0.14
2020-08-03,10310,10320.44,-0.1
2020-08-04,10320,10335.91,-0.15
2020-08-05,10235,10243.33,-0.08
2020-08-06,10140,10160.95,-0.21
2020-08-07,10170,10189.43,-0.19
2020-08-10,10180,10192.94,-0.13
2020-08-11,10175,10180.43,-0.05
2020-08-12,10170,10181.57,-0.11
2020-08-13,10145,10162.15,-0.17
2020-08-14,10155,10173.98,-0.19
2020-08-18,10175,10166.15,0.09
2020-08-19,10115,10111.35,0.04
2020-08-20,10230,10210.81,0.19
2020-08-21,10195,10196.72,-0.02
2020-08-24,10245,10264.43,-0.19
2020-08-25,10180,10182.9,-0.03
2020-08-26,10190,10200.83,-0.11
2020-08-27,10180,10180.21,-0.0
2020-08-28,10150,10156.92,-0.07
2020-08-31,10215,10216.74,-0.02
2020-09-01,10130,10155.88,-0.25
2020-09-02,10175,10195.23,-0.2
2020-09-03,10220,10234.54,-0.14
2020-09-04,10260,10270.42,-0.1
2020-09-07,10225,10244.42,-0.19
2020-09-08,10195,10221.26,-0.26
2020-09-09,10240,10245.08,-0.05
2020-09-10,10170,10186.09,-0.16
2020-09-11,10205,10212.86,-0.08
2020-09-14,10155,10153.68,0.01
2020-09-15,10070,10075.35,-0.05
2020-09-16,10025,10011.3,0.14
2020-09-17,10005,9984.32,0.21
2020-09-18,9760,9761.15,-0.01
2020-09-21,9735,9708.63,0.27
2020-09-22,9835,9846.3,-0.11
2020-09-23,9830,9840.75,-0.11
2020-09-24,9960,9986.61,-0.27
2020-09-25,9960,9969.35,-0.09
2020-09-28,9980,9975.48,0.05
2020-09-29,9920,9927.23,-0.07
2020-10-05,9815,9819.02,-0.04
2020-10-06,9780,9779.33,0.01
2020-10-07,9725,9725.3,-0.0
2020-10-08,9645,9637.8,0.07
2020-10-12,9540,9540.97,-0.01
2020-10-13,9545,9542.38,0.03
2020-10-14,9515,9536.4,-0.22
2020-10-15,9475,9479.45,-0.05
2020-10-16,9530,9538.72,-0.09
2020-10-19,9465,9475.03,-0.11
2020-10-20,9420,9420.27,-0.0
2020-10-21,9295,9286.52,0.09
2020-10-22,9310,9313.53,-0.04
2020-10-23,9320,9314.93,0.05
2020-10-26,9230,9222.48,0.08
2020-10-27,9190,9203.65,-0.15
2020-10-28,9275,9281.58,-0.07
