종목,테스트,파라미터,시작연도,방향,시대 구간,구간,표본,거는 방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,3일,3,위,100.0,3.16,9.48,49.95,50.05,후보
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,1주,3,위,100.0,1.85,5.56,49.94,50.06,후보
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,2주,3,위,66.67,7.12,21.36,49.96,16.7,후보
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,1개월,3,위,66.67,11.16,33.49,49.99,16.68,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,1일,1,아래,100.0,4.25,4.25,44.11,55.89,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,2일,1,아래,100.0,2.49,2.49,41.89,58.11,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,3일,1,아래,100.0,1.83,1.83,41.14,58.86,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,1주,1,아래,100.0,4.68,4.68,39.96,60.04,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,2주,1,위,100.0,0.29,0.29,62.78,37.22,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,1개월,1,위,100.0,4.71,4.71,67.09,32.91,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,1일,2,위,100.0,8.03,16.05,55.56,44.44,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2일,2,아래,50.0,0.11,0.21,41.89,8.11,제외
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,3일,2,위,100.0,3.83,7.66,58.76,41.24,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,1주,2,위,100.0,0.44,0.88,59.91,40.09,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,2주,2,위,100.0,10.83,21.65,62.78,37.22,후보
QQQ,테스트 A(역대급 등락),K=10,2011,폭락,전체,1개월,2,위,100.0,19.1,38.2,67.09,32.91,후보
