대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
2203,23일 → 말일-1,200,위,51.0,0.15,29.35,50.45,0.55,0.8931,4,49.0,제외,0/3,차이 · 우연확률 · 시기
2203,23일 → 말일-2,198,위,47.98,-0.16,-30.88,47.36,0.62,0.8422,4,45.76,제외,0/3,차이 · 우연확률 · 시기
2203,23일 → 말일-3,187,아래,50.27,-0.03,-4.92,50.14,0.13,1.0,4,41.82,제외,0/3,차이 · 우연확률 · 시기
2203,24일 → 말일,200,위,54.0,0.29,57.69,51.86,2.14,0.5844,4,53.0,제외,0/3,차이 · 우연확률 · 시기
2203,24일 → 말일+1,200,위,54.5,0.51,101.24,53.84,0.66,0.8981,4,53.0,제외,0/3,차이 · 우연확률 · 시기
2203,24일 → 말일+2,200,아래,46.5,-0.54,-107.37,46.38,0.12,1.0,4,46.0,제외,0/3,차이 · 우연확률 · 시기
2203,24일 → 말일+3,200,위,56.0,0.56,111.15,53.35,2.65,0.4476,4,48.33,제외,0/3,차이 · 우연확률 · 시기
2203,24일 → 말일-1,199,위,54.77,0.17,33.71,50.45,4.33,0.2068,4,52.54,제외,0/3,차이 · 우연확률 · 시기
2203,24일 → 말일-2,191,위,49.21,-0.14,-25.79,47.36,1.86,0.6054,4,45.61,제외,0/3,차이 · 우연확률 · 시기
2203,24일 → 말일-3,170,아래,51.76,-0.01,-2.15,50.14,1.63,0.7023,4,49.41,제외,0/3,차이 · 우연확률 · 시기
2203,25일 → 말일,200,위,54.5,0.33,66.81,51.86,2.64,0.4875,4,53.33,제외,0/3,차이 · 우연확률 · 시기
2203,25일 → 말일+1,200,위,57.0,0.55,110.53,53.84,3.16,0.3886,4,55.0,제외,1/3,차이 · 우연확률
2203,25일 → 말일+2,200,위,58.5,0.58,116.81,53.62,4.88,0.1698,4,53.33,제외,0/3,차이 · 우연확률 · 시기
2203,25일 → 말일+3,200,위,56.5,0.6,120.49,53.35,3.15,0.3666,4,51.67,제외,0/3,차이 · 우연확률 · 시기
2203,25일 → 말일-1,194,위,55.67,0.22,42.46,50.45,5.22,0.1369,4,51.72,제외,0/3,차이 · 우연확률 · 시기
2203,25일 → 말일-2,185,위,51.35,-0.05,-9.23,47.36,3.99,0.2657,4,45.45,제외,0/3,차이 · 우연확률 · 시기
2203,25일 → 말일-3,128,위,54.69,0.12,15.2,49.86,4.82,0.2867,4,50.0,제외,0/3,차이 · 우연확률 · 시기
2001,15일 → 말일,362,아래,54.14,0.91,331.0,49.3,4.85,0.0689,4,47.51,제외,0/3,차이 · 우연확률 · 시기
2001,15일 → 말일+1,362,아래,51.66,0.52,189.95,46.48,5.17,0.04,4,46.96,제외,1/3,차이 · 시기
2001,15일 → 말일+2,362,아래,51.1,0.47,168.98,46.84,4.26,0.1049,4,46.41,제외,0/3,차이 · 우연확률 · 시기
2001,15일 → 말일+3,362,아래,51.93,0.42,150.56,47.52,4.42,0.0779,4,47.5,제외,0/3,차이 · 우연확률 · 시기
2001,15일 → 말일-1,362,아래,55.25,1.22,440.05,51.81,3.44,0.1798,4,47.51,제외,0/3,차이 · 우연확률 · 시기
2001,15일 → 말일-2,362,아래,58.56,1.33,481.17,54.37,4.19,0.1049,4,53.59,제외,0/3,차이 · 우연확률 · 시기
2001,15일 → 말일-3,362,아래,56.35,1.04,378.1,51.63,4.72,0.0639,4,50.83,제외,0/3,차이 · 우연확률 · 시기
2001,16일 → 말일,362,아래,53.04,0.88,319.16,49.3,3.74,0.1538,4,47.51,제외,0/3,차이 · 우연확률 · 시기
2001,16일 → 말일+1,362,아래,51.66,0.49,177.63,46.48,5.17,0.04,4,48.07,제외,1/3,차이 · 시기
2001,16일 → 말일+2,362,아래,50.0,0.43,156.84,46.84,3.16,0.2348,4,46.96,제외,0/3,차이 · 우연확률 · 시기
