레벨,레벨가,목표가,매수일,매수 판정환율,매수 집행가,매도일,매도 판정환율,매도 집행가,투입액,매수비용,회수액,매도비용,매도과세,실현손익,이탈 보너스,보유일
24,1210.7452,1220.4312,2009-09-17,1204.8,1204.8,2010-05-25,1250.0,1250.0,2020066.0,3636.0,2088314.0,3766.0,0.0,68248.0,59518.0,250
25,1220.4312,1230.1947,2009-09-15,1218.5,1218.5,2010-05-25,1250.0,1250.0,2024320.0,3644.0,2069182.0,3731.0,0.0,44862.0,36072.0,252
26,1230.1947,1240.0362,2009-09-09,1227.0,1227.0,2010-05-25,1250.0,1250.0,2026223.0,3647.0,2056780.0,3709.0,0.0,30557.0,21732.0,258
27,1240.0362,1249.9565,2009-08-24,1240.0,1240.0,2010-05-25,1250.0,1250.0,2028457.0,3651.0,2037461.0,3674.0,0.0,9004.0,131.0,274
23,1201.1362,1210.7452,2010-05-28,1194.9,1194.9,2010-06-01,1216.5,1216.5,2055647.0,3700.0,2085280.0,3760.0,0.0,29632.0,20677.0,4
23,1201.1362,1210.7452,2010-06-03,1197.5,1197.5,2010-06-07,1235.9,1235.9,2057131.0,3703.0,2115461.0,3815.0,0.0,58329.0,49419.0,4
24,1210.7452,1220.4312,2010-05-28,1194.9,1194.9,2010-06-07,1235.9,1235.9,2055647.0,3700.0,2118534.0,3820.0,0.0,62887.0,53992.0,10
25,1220.4312,1230.1947,2010-05-28,1194.9,1194.9,2010-06-07,1235.9,1235.9,2055647.0,3700.0,2118534.0,3820.0,0.0,62887.0,53992.0,10
26,1230.1947,1240.0362,2010-05-27,1224.0,1224.0,2010-06-09,1248.7,1248.7,2064256.0,3716.0,2098337.0,3784.0,0.0,34082.0,25097.0,13
27,1240.0362,1249.9565,2010-05-27,1224.0,1224.0,2010-06-10,1251.0,1251.0,2064256.0,3716.0,2102202.0,3791.0,0.0,37947.0,28969.0,14
20,1172.764,1182.1462,2010-06-21,1172.0,1172.0,2010-06-23,1187.5,1187.5,2053756.0,3697.0,2073433.0,3739.0,0.0,19677.0,10712.0,2
21,1182.1462,1191.6033,2010-06-21,1172.0,1172.0,2010-06-25,1215.4,1215.4,2053756.0,3697.0,2122148.0,3827.0,0.0,68392.0,59515.0,4
22,1191.6033,1201.1362,2010-06-21,1172.0,1172.0,2010-06-25,1215.4,1215.4,2053756.0,3697.0,2122148.0,3827.0,0.0,68392.0,59515.0,4
23,1201.1362,1210.7452,2010-06-21,1172.0,1172.0,2010-06-25,1215.4,1215.4,2053756.0,3697.0,2122148.0,3827.0,0.0,68392.0,59515.0,4
24,1210.7452,1220.4312,2010-06-18,1202.6,1202.6,2010-06-30,1222.2,1222.2,2064337.0,3716.0,2090435.0,3770.0,0.0,26099.0,17099.0,12
23,1201.1362,1210.7452,2010-07-09,1196.0,1196.0,2010-07-13,1212.5,1212.5,2067696.0,3722.0,2088682.0,3766.0,0.0,20986.0,11963.0,4
