종목,만기월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
KODEX 200,9,위,-3.5,앞 절반,11,0,7.99,0.73,63.64,4.61,-5.35,3.46,1,1,4.91,예
KODEX 200,9,위,-3.5,뒤 절반,12,0,8.85,0.74,75.0,4.44,-3.5,2.35,0,2,5.17,예
KODEX 200,9,위,-3.5,최근 10년,10,0,5.25,0.53,70.0,4.44,-3.5,2.5,0,2,5.0,예
KODEX 200,9,위,-3.5,최근 5년,5,0,1.92,0.38,60.0,4.44,-3.5,2.83,0,1,5.0,아니오
KODEX 200,9,위,-4.0,전체,23,0,17.24,0.75,69.57,4.61,-5.35,2.84,1,1,5.09,예
KODEX 200,9,위,-4.0,앞 절반,11,0,7.49,0.68,63.64,4.61,-5.35,3.52,1,1,4.91,예
KODEX 200,9,위,-4.0,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-4.0,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-4.0,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-4.5,전체,23,0,16.74,0.73,69.57,4.61,-5.35,2.88,1,1,5.09,예
KODEX 200,9,위,-4.5,앞 절반,11,0,6.99,0.64,63.64,4.61,-5.35,3.59,1,1,4.91,예
KODEX 200,9,위,-4.5,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-4.5,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-4.5,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-5.0,전체,23,0,16.24,0.71,69.57,4.61,-5.35,2.93,1,1,5.09,예
KODEX 200,9,위,-5.0,앞 절반,11,0,6.49,0.59,63.64,4.61,-5.35,3.66,1,1,4.91,예
KODEX 200,9,위,-5.0,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-5.0,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-5.0,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-5.5,전체,23,0,21.17,0.92,73.91,4.61,-5.5,2.67,0,1,5.17,예
KODEX 200,9,위,-5.5,앞 절반,11,0,11.42,1.04,72.73,4.61,-5.5,3.21,0,1,5.09,예
KODEX 200,9,위,-5.5,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-5.5,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-5.5,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-6.0,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-6.0,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-6.0,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
KODEX 200,9,위,-6.0,최근 10년,10,0,6.16,0.62,70.0,4.44,-3.32,2.34,0,0,5.1,예
KODEX 200,9,위,-6.0,최근 5년,5,0,2.64,0.53,60.0,4.44,-2.78,2.59,0,0,5.0,아니오
KODEX 200,9,위,-6.5,전체,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3,예
KODEX 200,9,위,-6.5,앞 절반,11,0,18.95,1.72,81.82,4.61,-3.15,2.37,0,0,5.36,예
KODEX 200,9,위,-6.5,뒤 절반,12,0,9.75,0.81,75.0,4.44,-3.32,2.21,0,0,5.25,예
