대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
229200,16일 → 말일+1,16,1,뒤 절반,66,0,66,-0.21,-0.49,48.48,51.52,20.82,-10.65,5.81,1329,0,1329,0.16,0.41,53.65,45.9,24.97,-24.99,5.76,-0.37,-0.91,-5.16,5.62,0.5884,0.1638,0.4705,0.3986,,False,예
229200,16일 → 말일+1,16,1,최근 10년,120,0,120,-0.06,-0.23,49.17,50.83,20.82,-11.06,5.47,2448,0,2448,0.35,0.31,52.49,47.02,24.97,-24.99,5.44,-0.41,-0.53,-3.33,3.82,0.4256,0.3137,0.5205,0.4545,,False,예
229200,16일 → 말일+1,16,1,최근 5년,60,0,60,-0.21,-1.14,46.67,53.33,20.82,-10.65,5.91,1219,0,1219,0.16,0.31,52.5,47.01,24.97,-24.99,5.87,-0.38,-1.45,-5.84,6.33,0.6394,0.041,0.4056,0.3437,,False,예
229200,16일 → 말일+2,16,2,앞 절반,65,0,65,0.46,0.54,52.31,46.15,13.47,-10.08,5.26,1310,0,1310,0.69,0.42,52.75,46.95,27.15,-14.99,5.08,-0.23,0.11,-0.44,-0.79,0.6923,0.8771,1.0,1.0,,False,예
229200,16일 → 말일+2,16,2,뒤 절반,66,0,66,-0.4,0.49,51.52,48.48,26.14,-12.84,6.41,1329,0,1329,0.01,0.25,52.07,47.33,30.47,-19.82,6.4,-0.41,0.25,-0.55,1.16,0.5864,0.7333,1.0,0.8921,,True,예
229200,16일 → 말일+2,16,2,최근 10년,120,0,120,-0.14,0.45,50.83,49.17,26.14,-12.84,6.02,2448,0,2448,0.28,0.25,51.72,47.88,30.47,-19.82,5.97,-0.43,0.2,-0.88,1.29,0.4426,0.7233,0.9161,0.8482,,True,예
229200,16일 → 말일+2,16,2,최근 5년,60,0,60,-0.41,0.14,50.0,50.0,26.14,-12.84,6.58,1219,0,1219,-0.0,0.21,51.6,47.99,30.47,-19.82,6.58,-0.41,-0.07,-1.6,2.01,0.6454,0.955,0.8981,0.8831,,False,예
229200,16일 → 말일+3,16,3,앞 절반,65,0,65,0.41,1.03,55.38,44.62,14.22,-17.62,5.86,1310,0,1310,0.6,0.6,54.05,45.73,27.98,-21.05,5.56,-0.19,0.42,1.34,-1.11,0.7762,0.6464,0.8901,0.8991,,False,예
229200,16일 → 말일+3,16,3,뒤 절반,65,0,65,-0.05,0.1,50.77,47.69,25.49,-16.82,6.62,1309,0,1309,0.12,0.47,54.16,45.76,29.79,-19.42,6.55,-0.17,-0.36,-3.39,1.93,0.8611,0.6074,0.5954,0.7932,,True,예
229200,16일 → 말일+3,16,3,최근 10년,119,0,119,0.01,0.9,52.1,47.06,25.49,-17.62,6.4,2428,0,2428,0.35,0.52,53.79,46.09,29.79,-21.05,6.3,-0.34,0.38,-1.69,0.97,0.5814,0.5405,0.7762,0.9201,,False,예
