대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
2203,23일 → 말일-1,23,-1,200,0,200,0.15,0.08,51.0,48.5,26.48,-20.42,3.79,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,0.17,0.03,0.55,-1.03,0.6324,0.8951,0.8931,0.7942,,False,예
2203,23일 → 말일,23,0,200,0,200,0.26,0.18,52.0,48.0,25.4,-9.87,3.95,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,0.16,0.02,0.14,-0.14,0.6543,0.9131,1.0,1.0,,False,예
2203,23일 → 말일+1,23,1,200,0,200,0.48,0.26,55.5,44.5,19.81,-8.98,3.65,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,0.16,-0.06,1.66,-1.64,0.6064,0.8452,0.6743,0.6713,,False,예
2203,23일 → 말일+2,23,2,200,0,200,0.5,0.5,55.0,45.0,24.06,-14.55,4.27,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,0.15,0.15,1.38,-1.38,0.6653,0.6603,0.7193,0.7193,,False,예
2203,23일 → 말일+3,23,3,200,0,200,0.52,0.68,58.5,41.5,24.65,-16.66,4.53,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,0.18,0.25,5.15,-5.15,0.6214,0.5405,0.1429,0.1429,,False,예
2203,24일 → 말일-3,24,-3,170,0,170,0.01,-0.17,48.24,51.76,14.12,-6.96,2.25,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,0.17,-0.17,-1.63,1.63,0.6154,0.6414,0.7023,0.7023,,True,예
2203,24일 → 말일-2,24,-2,191,0,191,-0.14,-0.02,49.21,50.79,22.65,-11.39,2.93,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,0.2,0.15,1.86,-1.83,0.5674,0.5355,0.6054,0.6024,,False,예
2203,24일 → 말일-1,24,-1,199,0,199,0.17,0.33,54.77,44.72,26.48,-14.95,3.35,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,0.19,0.28,4.33,-4.8,0.5914,0.3357,0.2068,0.1598,,False,예
2203,24일 → 말일,24,0,200,0,200,0.29,0.24,54.0,46.0,23.85,-9.34,3.54,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,0.18,0.08,2.14,-2.14,0.6094,0.7433,0.5844,0.5844,,False,예
2203,24일 → 말일+1,24,1,200,0,200,0.51,0.22,54.5,45.5,17.05,-9.06,3.4,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,0.19,-0.1,0.66,-0.64,0.5495,0.7562,0.8981,0.8991,,False,예
2203,24일 → 말일+2,24,2,200,0,200,0.54,0.44,53.5,46.5,21.65,-15.25,4.12,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,0.18,0.09,-0.12,0.12,0.6054,0.7972,1.0,1.0,,False,예
2203,24일 → 말일+3,24,3,200,0,200,0.56,0.4,56.0,44.0,21.21,-15.79,4.35,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,0.21,-0.03,2.65,-2.65,0.5714,0.954,0.4476,0.4476,,False,예
2203,25일 → 말일-3,25,-3,128,0,128,0.12,0.13,54.69,45.31,14.12,-5.59,2.08,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,0.27,0.13,4.82,-4.82,0.4695,0.6743,0.2867,0.2867,,False,예
2203,25일 → 말일-2,25,-2,185,0,185,-0.05,0.06,51.35,48.65,22.65,-11.39,2.75,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,0.28,0.23,3.99,-3.96,0.4396,0.3536,0.2657,0.2647,,True,예
2203,25일 → 말일-1,25,-1,194,0,194,0.22,0.37,55.67,43.81,26.48,-14.95,3.2,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,0.24,0.31,5.22,-5.71,0.5005,0.2687,0.1369,0.1059,,False,예
2203,25일 → 말일,25,0,200,0,200,0.33,0.34,54.5,45.5,23.85,-9.83,3.42,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,0.23,0.18,2.64,-2.64,0.5205,0.5285,0.4875,0.4875,,False,예
