종목,청산 요일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 비율 우연확률,내린 비율 우연확률,비고,만기월,시기
KODEX 200,금요일,12,0,12,-0.94,0.63,58.33,41.67,4.66,-13.01,4.89,0.7303,0.7303,,8,앞 절반
KODEX 200,금요일,12,0,12,-1.1,-1.29,41.67,58.33,6.31,-5.2,3.42,0.5055,0.5055,,8,뒤 절반
KODEX 200,금요일,11,0,11,1.72,2.25,81.82,18.18,4.61,-3.15,2.37,0.4655,0.4655,,9,앞 절반
KODEX 200,금요일,12,0,12,0.81,0.84,75.0,25.0,4.44,-3.32,2.21,0.039,0.049,,9,뒤 절반
KODEX 200,금요일,11,0,11,-0.19,0.59,54.55,45.45,6.06,-8.32,4.01,1.0,1.0,,10,앞 절반
KODEX 200,금요일,12,0,12,0.45,0.93,75.0,25.0,6.38,-3.66,2.64,0.3137,0.3137,,10,뒤 절반
KODEX 200,금요일,12,0,12,-0.03,0.67,58.33,41.67,6.92,-7.04,3.79,0.7473,0.7473,,11,앞 절반
KODEX 200,금요일,12,0,12,-0.03,-0.22,41.67,58.33,4.68,-8.2,3.24,1.0,1.0,,11,뒤 절반
KODEX 200,금요일,12,0,12,0.22,0.69,75.0,25.0,1.9,-4.58,1.83,0.5225,0.5225,,12,앞 절반
KODEX 200,금요일,12,0,12,-0.13,0.12,50.0,50.0,3.23,-3.35,1.92,0.2897,0.2897,,12,뒤 절반
KODEX 200,목요일,12,0,12,-0.03,0.92,66.67,33.33,3.52,-7.62,3.44,0.1049,0.3377,,1,앞 절반
KODEX 200,목요일,12,0,12,0.25,0.46,66.67,33.33,5.1,-3.85,2.64,1.0,1.0,,1,뒤 절반
KODEX 200,목요일,12,0,12,0.52,0.51,58.33,33.33,6.67,-5.65,2.9,1.0,0.7233,,2,앞 절반
KODEX 200,목요일,12,0,12,0.67,0.15,58.33,41.67,3.14,-1.4,1.55,1.0,1.0,,2,뒤 절반
KODEX 200,목요일,12,0,12,0.87,0.21,50.0,50.0,8.94,-3.01,3.1,0.7373,0.7373,,3,앞 절반
KODEX 200,목요일,12,0,12,0.29,1.97,83.33,16.67,4.34,-19.62,6.48,0.01,0.01,,3,뒤 절반
KODEX 200,목요일,12,0,12,0.55,0.34,58.33,41.67,6.79,-3.27,2.67,0.7473,0.7473,,4,앞 절반
KODEX 200,목요일,12,0,12,1.18,0.57,75.0,25.0,8.55,-3.08,2.84,0.1928,0.3137,,4,뒤 절반
