종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,베이스라인,구간,기준,신호 표본,베이스라인 표본,평균 초과(%p),중앙값 초과(%p),승률 초과(%p)
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,6개월,종가,7,1103,14.98,18.14,7.93
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,6개월,익일시가,7,1103,18.47,21.49,7.93
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,1년,종가,7,1103,23.37,7.61,16.14
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,1년,익일시가,7,1103,27.32,10.34,16.14
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1일,종가,7,5943,4.56,5.31,30.67
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1일,익일시가,7,5943,2.74,2.75,46.9
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1주,종가,7,5939,-1.01,-0.33,12.6
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1주,익일시가,7,5939,-2.64,-3.29,-29.17
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1개월,종가,7,5923,3.22,-0.31,-7.86
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1개월,익일시가,7,5923,1.27,-1.63,-8.04
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,3개월,종가,7,5881,5.06,-3.24,-15.36
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,3개월,익일시가,7,5881,2.78,-4.55,-15.23
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,6개월,종가,7,5818,18.27,25.65,-6.85
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,6개월,익일시가,7,5818,15.54,23.91,-6.57
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1년,종가,7,5692,37.04,43.67,14.18
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,단순 보유,1년,익일시가,7,5692,33.94,37.81,14.16
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,조건부 SMA200,1일,종가,7,1226,4.53,5.31,33.43
QQQ,테스트 A(역대급 등락),K=20,2003,폭락,전체,7,3,조건부 SMA200,1일,익일시가,7,1226,2.68,2.72,47.15
