종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,베이스라인,구간,신호 표본,베이스라인 표본,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p)
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,단순 보유,1주,7,10922,-0.38,0.19,21.52,-21.34
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,단순 보유,2주,7,10912,5.99,5.52,21.51,-21.35
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,단순 보유,1개월,7,10890,5.64,7.88,7.19,-7.1
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,조건부 SMA200,1일,7,2212,4.74,4.33,50.09,-49.91
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,조건부 SMA200,2일,7,2212,2.78,2.49,21.61,-21.25
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,조건부 SMA200,3일,7,2212,2.87,2.72,21.47,-21.38
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,조건부 SMA200,1주,7,2212,-0.38,0.19,21.52,-21.34
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,조건부 SMA200,2주,7,2212,5.99,5.52,21.52,-21.34
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,조건부 SMA200,1개월,7,2212,5.64,7.88,7.14,-7.14
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,단순 보유,1일,7,5465,-3.31,-3.15,-40.85,41.32
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,단순 보유,2일,7,5464,-2.22,-2.69,-13.88,14.28
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,단순 보유,3일,7,5463,-2.76,-2.17,-15.06,15.19
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,단순 보유,1주,7,5461,-1.78,0.2,-1.99,2.17
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,단순 보유,2주,7,5456,-2.65,-0.64,-4.57,4.73
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,단순 보유,1개월,7,5445,2.33,2.98,6.52,-6.43
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,조건부 SMA200,1일,7,1106,-3.33,-3.13,-37.61,37.79
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,조건부 SMA200,2일,7,1106,-2.24,-2.7,-10.58,10.94
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,조건부 SMA200,3일,7,1106,-2.8,-2.23,-12.03,12.12
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,조건부 SMA200,1주,7,1106,-1.84,0.02,-0.9,1.08
QQQ,테스트 A(역대급 등락),K=20,2005,폭등,전체,7,4,조건부 SMA200,2주,7,1106,-2.87,-1.27,-4.34,4.52
