대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
KODEX 인버스,20일 → 말일-1,204,위,41.18,-0.28,-56.97,41.33,-0.16,0.9421,2,38.24,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,20일 → 말일-2,204,위,42.16,-0.19,-38.44,41.62,0.53,0.9001,2,39.22,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,20일 → 말일-3,203,위,45.32,-0.17,-33.62,41.38,3.94,0.2687,2,43.56,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,21일 → 말일,204,위,46.08,-0.21,-42.13,44.02,2.06,0.6144,2,46.08,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,21일 → 말일+1,204,위,42.65,-0.32,-65.32,42.4,0.25,1.0,2,37.25,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,21일 → 말일+2,204,위,46.08,-0.35,-70.55,43.04,3.04,0.4216,2,44.12,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,21일 → 말일+3,203,위,47.29,-0.44,-88.67,44.09,3.2,0.3157,2,42.57,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,21일 → 말일-1,204,아래,58.82,0.21,41.98,57.05,1.78,0.6583,2,57.84,제외,1/3,차이 · 우연확률
KODEX 인버스,21일 → 말일-2,203,아래,58.13,0.12,23.66,57.14,0.99,0.8192,2,56.86,제외,1/3,차이 · 우연확률
KODEX 인버스,21일 → 말일-3,203,아래,56.16,0.1,19.36,56.71,-0.56,0.8831,2,54.9,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,22일 → 말일,204,위,44.61,-0.17,-35.33,44.02,0.59,0.9321,2,44.12,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,22일 → 말일+1,204,위,43.63,-0.29,-58.77,42.4,1.23,0.8042,2,41.18,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,22일 → 말일+2,204,위,45.59,-0.31,-64.07,43.04,2.55,0.4965,2,44.12,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,22일 → 말일+3,203,위,47.29,-0.4,-82.09,44.09,3.2,0.3157,2,46.53,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,22일 → 말일-1,204,위,43.14,-0.17,-35.22,41.33,1.8,0.6883,2,41.18,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,22일 → 말일-2,203,위,45.81,-0.08,-17.03,41.62,4.19,0.2138,2,45.54,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,22일 → 말일-3,199,위,47.24,-0.06,-12.62,41.38,5.85,0.1039,2,44.0,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,23일 → 말일,204,아래,54.9,0.26,52.48,54.77,0.13,0.9461,2,54.9,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,23일 → 말일+1,204,위,45.1,-0.37,-75.46,42.4,2.7,0.4965,2,38.24,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,23일 → 말일+2,204,위,44.61,-0.4,-82.15,43.04,1.57,0.6763,2,41.18,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,23일 → 말일+3,203,위,44.33,-0.49,-99.35,44.09,0.24,0.9341,2,42.57,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,23일 → 말일-1,204,위,42.16,-0.25,-51.05,41.33,0.82,0.8971,2,42.16,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,23일 → 말일-2,202,위,43.56,-0.16,-32.86,41.62,1.94,0.5764,2,41.58,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,23일 → 말일-3,191,위,44.5,-0.14,-26.99,41.38,3.12,0.4126,2,43.75,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,24일 → 말일,204,아래,55.39,0.25,50.6,54.77,0.62,0.8192,2,54.9,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,24일 → 말일+1,204,아래,56.37,0.36,73.82,56.26,0.11,1.0,2,51.96,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,24일 → 말일+2,204,위,44.12,-0.39,-79.78,43.04,1.08,0.7902,2,39.22,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,24일 → 말일+3,203,위,44.83,-0.46,-93.8,44.09,0.74,0.8202,2,44.55,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,24일 → 말일-1,203,위,41.87,-0.25,-50.56,41.33,0.54,0.955,2,40.59,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,24일 → 말일-2,195,위,41.03,-0.17,-32.7,41.62,-0.6,0.9491,2,40.82,제외,0/3,차이 · 우연확률 · 시기
