종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,기준,신호,제외,표본,평균(%),중앙값(%),승률(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,1일,종가,134,0,134,0.15,0.1,58.96,3.36,-2.49,0.91
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,1일,익일시가,134,0,134,0.07,0.08,55.22,2.11,-3.04,0.78
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,1주,종가,134,0,134,0.49,0.59,62.69,6.89,-4.63,1.89
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,1주,익일시가,134,0,134,0.4,0.34,58.21,5.12,-4.49,1.71
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,1개월,종가,134,0,134,1.76,1.89,70.15,18.21,-12.88,4.38
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,1개월,익일시가,134,0,134,1.67,1.91,70.15,14.3,-12.93,4.25
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,3개월,종가,134,0,134,4.34,4.23,75.37,20.87,-15.15,6.89
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,3개월,익일시가,134,0,134,4.24,4.24,75.37,21.47,-15.23,6.81
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,6개월,종가,134,1,133,8.67,9.01,81.2,37.11,-17.52,9.86
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,6개월,익일시가,134,1,133,8.61,9.18,81.95,38.38,-17.68,9.86
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,1년,종가,134,7,127,15.98,16.88,86.61,47.56,-41.1,16.22
QQQ,테스트 B(연속 등락),N=5,2003,연속 상승,전체,89,1년,익일시가,134,7,127,15.9,16.69,86.61,48.11,-41.4,16.22
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,1일,종가,52,0,52,0.63,0.27,57.69,11.05,-3.53,2.07
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,1일,익일시가,52,0,52,0.46,0.33,57.69,7.35,-3.9,1.82
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,1주,종가,52,0,52,1.46,0.78,69.23,14.4,-6.09,3.71
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,1주,익일시가,52,0,52,1.28,0.81,59.62,11.96,-6.42,3.5
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,1개월,종가,52,1,51,1.42,1.42,58.82,15.59,-19.77,6.42
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,1개월,익일시가,52,1,51,1.24,1.49,60.78,13.92,-20.81,6.4
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,3개월,종가,52,1,51,3.1,4.89,72.55,36.89,-36.0,10.34
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,3개월,익일시가,52,1,51,2.9,4.49,68.63,34.91,-36.82,10.08
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,6개월,종가,52,1,51,9.97,9.81,82.35,50.38,-40.76,13.95
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,6개월,익일시가,52,1,51,9.76,9.46,78.43,48.2,-41.53,13.64
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,1년,종가,52,3,49,19.67,19.4,91.84,71.3,-34.02,20.24
QQQ,테스트 B(연속 등락),N=5,2003,연속 하락,전체,43,1년,익일시가,52,3,49,19.38,18.52,91.84,68.83,-31.48,19.64
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,1일,종가,79,0,79,0.04,0.18,60.76,1.32,-3.68,0.75
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,1일,익일시가,79,0,79,0.08,0.23,67.09,1.66,-3.07,0.74
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,1주,종가,79,0,79,0.45,0.43,67.09,5.17,-7.24,1.84
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,1주,익일시가,79,0,79,0.5,0.47,67.09,5.19,-6.65,1.87
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,1개월,종가,79,0,79,1.28,1.48,63.29,14.66,-12.66,4.45
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,1개월,익일시가,79,0,79,1.32,1.5,64.56,14.69,-13.0,4.44
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,3개월,종가,79,0,79,3.51,3.95,68.35,19.34,-18.54,7.09
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,3개월,익일시가,79,0,79,3.55,3.87,68.35,19.37,-18.57,7.11
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,6개월,종가,79,1,78,9.02,8.85,83.33,37.29,-17.71,9.78
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,6개월,익일시가,79,1,78,9.07,9.06,83.33,37.39,-17.57,9.82
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,1년,종가,79,3,76,16.91,18.0,90.79,48.41,-28.99,14.41
QQQ,테스트 B(연속 등락),N=6,2003,연속 상승,전체,70,1년,익일시가,79,3,76,16.98,18.04,90.79,48.35,-28.88,14.47
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,1일,종가,22,0,22,0.63,0.63,63.64,5.04,-2.69,1.9
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,1일,익일시가,22,0,22,0.13,0.17,50.0,5.35,-4.92,2.03
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,1주,종가,22,0,22,0.37,0.66,54.55,8.4,-6.19,3.42
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,1주,익일시가,22,0,22,-0.12,0.23,54.55,6.3,-7.69,3.39
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,1개월,종가,22,1,21,-0.79,-1.34,38.1,8.87,-24.72,7.5
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,1개월,익일시가,22,1,21,-1.2,-1.47,38.1,10.81,-24.68,7.54
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,3개월,종가,22,1,21,2.76,5.81,76.19,16.37,-33.27,10.4
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,3개월,익일시가,22,1,21,2.32,5.44,71.43,13.06,-33.24,10.24
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,6개월,종가,22,1,21,7.75,6.77,80.95,25.86,-36.98,13.44
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,6개월,익일시가,22,1,21,7.33,6.51,76.19,24.85,-36.96,13.68
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,1년,종가,22,2,20,16.26,16.76,90.0,49.6,-34.65,17.5
QQQ,테스트 B(연속 등락),N=6,2003,연속 하락,전체,20,1년,익일시가,22,2,20,15.78,16.22,90.0,48.23,-34.92,17.57
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,1일,종가,48,0,48,-0.06,0.01,50.0,1.37,-2.19,0.77
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,1일,익일시가,48,0,48,-0.11,-0.08,45.83,1.28,-2.21,0.73
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,1주,종가,48,0,48,0.6,0.87,66.67,5.33,-4.21,1.98
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,1주,익일시가,48,0,48,0.55,0.85,70.83,5.35,-4.23,1.94
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,1개월,종가,48,0,48,1.46,1.37,66.67,16.56,-10.91,4.67
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,1개월,익일시가,48,0,48,1.41,1.11,68.75,16.24,-10.93,4.67
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,3개월,종가,48,0,48,2.74,2.38,66.67,18.9,-19.16,7.56
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,3개월,익일시가,48,0,48,2.69,2.54,64.58,18.58,-19.54,7.54
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,6개월,종가,48,1,47,8.38,10.43,80.85,36.98,-15.97,10.4
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,6개월,익일시가,48,1,47,8.33,10.15,80.85,36.22,-15.87,10.35
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,1년,종가,48,2,46,14.23,13.19,89.13,47.05,-31.71,15.53
QQQ,테스트 B(연속 등락),N=7,2003,연속 상승,전체,43,1년,익일시가,48,2,46,14.17,13.3,89.13,46.35,-31.8,15.41
QQQ,테스트 B(연속 등락),N=7,2003,연속 하락,전체,6,1일,종가,8,0,8,-0.94,-0.66,25.0,0.82,-3.86,1.46
QQQ,테스트 B(연속 등락),N=7,2003,연속 하락,전체,6,1일,익일시가,8,0,8,-0.62,-0.73,12.5,2.62,-2.36,1.53
QQQ,테스트 B(연속 등락),N=7,2003,연속 하락,전체,6,1주,종가,8,0,8,-0.54,-0.35,37.5,2.35,-5.56,2.74
QQQ,테스트 B(연속 등락),N=7,2003,연속 하락,전체,6,1주,익일시가,8,0,8,-0.21,-0.84,37.5,5.7,-4.1,3.26
QQQ,테스트 B(연속 등락),N=7,2003,연속 하락,전체,6,1개월,종가,8,0,8,-4.16,-1.15,37.5,2.08,-23.7,8.38
