종목,월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
229200,2,위,7.0,최근 10년,10,0,-11.45,-1.15,30.0,4.33,-7.0,3.65,0,2,5.3,예
229200,2,위,7.0,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오
229200,2,위,8.0,전체,11,0,-10.6,-0.96,36.36,4.33,-8.0,3.53,0,1,5.91,예
229200,2,위,8.0,앞 절반,5,0,-9.71,-1.94,20.0,0.77,-8.0,3.47,0,1,6.0,아니오
229200,2,위,8.0,뒤 절반,6,0,-0.9,-0.15,50.0,4.33,-5.92,3.68,0,0,5.83,아니오
229200,2,위,8.0,최근 10년,10,0,-11.38,-1.14,30.0,4.33,-8.0,3.67,0,1,5.9,예
229200,2,위,8.0,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오
229200,2,위,9.0,전체,11,0,-10.83,-0.98,36.36,4.33,-8.23,3.57,0,0,5.91,예
229200,2,위,9.0,앞 절반,5,0,-9.94,-1.99,20.0,0.77,-8.23,3.57,0,0,6.0,아니오
229200,2,위,9.0,뒤 절반,6,0,-0.9,-0.15,50.0,4.33,-5.92,3.68,0,0,5.83,아니오
229200,2,위,9.0,최근 10년,10,0,-11.61,-1.16,30.0,4.33,-8.23,3.72,0,0,5.9,예
229200,2,위,9.0,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오
229200,2,위,10.0,전체,11,0,-10.83,-0.98,36.36,4.33,-8.23,3.57,0,0,5.91,예
229200,2,위,10.0,앞 절반,5,0,-9.94,-1.99,20.0,0.77,-8.23,3.57,0,0,6.0,아니오
229200,2,위,10.0,뒤 절반,6,0,-0.9,-0.15,50.0,4.33,-5.92,3.68,0,0,5.83,아니오
229200,2,위,10.0,최근 10년,10,0,-11.61,-1.16,30.0,4.33,-8.23,3.72,0,0,5.9,예
229200,2,위,10.0,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오
229200,2,위,무손절,전체,11,0,-10.83,-0.98,36.36,4.33,-8.23,3.57,0,0,5.91,예
229200,2,위,무손절,앞 절반,5,0,-9.94,-1.99,20.0,0.77,-8.23,3.57,0,0,6.0,아니오
229200,2,위,무손절,뒤 절반,6,0,-0.9,-0.15,50.0,4.33,-5.92,3.68,0,0,5.83,아니오
229200,2,위,무손절,최근 10년,10,0,-11.61,-1.16,30.0,4.33,-8.23,3.72,0,0,5.9,예
229200,2,위,무손절,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오
229200,3,아래,3.0,전체,11,0,14.02,1.27,54.55,9.63,-3.0,4.38,0,3,6.55,예
229200,3,아래,3.0,앞 절반,5,0,2.55,0.51,60.0,3.62,-3.0,3.12,0,1,7.0,아니오
229200,3,아래,3.0,뒤 절반,6,0,11.47,1.91,50.0,9.63,-3.0,5.44,0,2,6.17,아니오
229200,3,아래,3.0,최근 10년,10,0,12.19,1.22,50.0,9.63,-3.0,4.62,0,3,6.3,예
229200,3,아래,3.0,최근 5년,5,0,11.08,2.22,40.0,9.63,-3.0,6.03,0,2,5.8,아니오
229200,3,아래,4.0,전체,11,0,9.03,0.82,54.55,9.63,-5.99,4.93,1,2,7.0,예
229200,3,아래,4.0,앞 절반,5,0,-0.44,-0.09,60.0,3.62,-5.99,4.09,1,0,7.2,아니오
229200,3,아래,4.0,뒤 절반,6,0,9.47,1.58,50.0,9.63,-4.0,5.81,0,2,6.83,아니오
229200,3,아래,4.0,최근 10년,10,0,7.2,0.72,50.0,9.63,-5.99,5.19,1,2,6.8,예
229200,3,아래,4.0,최근 5년,5,0,9.08,1.82,40.0,9.63,-4.0,6.47,0,2,6.6,아니오
229200,3,아래,5.0,전체,11,0,7.03,0.64,54.55,9.63,-5.99,5.14,1,2,7.09,예
229200,3,아래,5.0,앞 절반,5,0,-0.44,-0.09,60.0,3.62,-5.99,4.09,1,0,7.2,아니오
229200,3,아래,5.0,뒤 절반,6,0,7.47,1.24,50.0,9.63,-5.0,6.21,0,2,7.0,아니오
229200,3,아래,5.0,최근 10년,10,0,5.2,0.52,50.0,9.63,-5.99,5.4,1,2,6.9,예
229200,3,아래,5.0,최근 5년,5,0,7.08,1.42,40.0,9.63,-5.0,6.92,0,2,6.8,아니오
229200,3,아래,6.0,전체,11,0,5.02,0.46,54.55,9.63,-6.0,5.37,0,3,7.18,예
229200,3,아래,6.0,앞 절반,5,0,-0.45,-0.09,60.0,3.62,-6.0,4.1,0,1,7.2,아니오
