종목,월,방향,손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150선물인버스,2,위,가능,최근 10년,10,0,10.87,1.09,70.0,0.944,51.44,3,8.47,-5.0,3.91,0,1,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150선물인버스,2,위,가능,최근 5년,5,0,-6.23,-1.25,40.0,0.466,68.19,3,2.49,-5.0,2.83,0,1,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150선물인버스,3,아래,가능,전체,10,0,-13.69,-1.37,40.0,0.73,57.79,6,6.58,-6.07,4.48,2,3,5.9,예,2017-03-20,2026-03-20
KODEX 코스닥150선물인버스,3,아래,가능,앞 절반,5,0,-14.02,-2.8,20.0,0.636,61.14,4,2.65,-6.07,3.79,2,1,5.4,아니오,2017-03-20,2021-03-19
KODEX 코스닥150선물인버스,3,아래,가능,뒤 절반,5,0,0.34,0.07,60.0,0.689,59.2,2,6.58,-5.0,5.06,0,2,6.4,아니오,2022-03-18,2026-03-20
KODEX 코스닥150선물인버스,3,아래,가능,최근 10년,10,0,-13.69,-1.37,40.0,0.73,57.79,6,6.58,-6.07,4.48,2,3,5.9,예,2017-03-20,2026-03-20
KODEX 코스닥150선물인버스,3,아래,가능,최근 5년,5,0,0.34,0.07,60.0,0.689,59.2,2,6.58,-5.0,5.06,0,2,6.4,아니오,2022-03-18,2026-03-20
KODEX 코스닥150선물인버스,3,위,가능,전체,10,0,4.41,0.44,50.0,1.222,45.0,5,9.93,-6.01,5.54,2,1,7.0,예,2017-03-20,2026-03-20
KODEX 코스닥150선물인버스,3,위,가능,앞 절반,5,0,-2.49,-0.5,60.0,0.475,67.79,2,3.04,-6.01,3.84,1,0,7.0,아니오,2017-03-20,2021-03-19
KODEX 코스닥150선물인버스,3,위,가능,뒤 절반,5,0,6.89,1.38,40.0,2.426,29.19,3,9.93,-5.26,7.22,1,1,7.0,아니오,2022-03-18,2026-03-20
KODEX 코스닥150선물인버스,3,위,가능,최근 10년,10,0,4.41,0.44,50.0,1.222,45.0,5,9.93,-6.01,5.54,2,1,7.0,예,2017-03-20,2026-03-20
