종목,사이클 위치,진입 연도,분할 방식,미체결 처리,진입일,진입가,2번째 몫 체결일,2번째 몫 체결가,2번째 몫 체결 사유,3번째 몫 체결일,3번째 몫 체결가,3번째 몫 체결 사유,4번째 몫 체결일,4번째 몫 체결가,4번째 몫 체결 사유,청산일,청산가,투자 비율(%),첫 몫 대비 평균 매수가(%),수익률(%),보유 중 최악(%)
DIA,중간선거해,2010,B 사다리 5%,12월 말 일괄 매수,2010-09-30,107.91,2010-12-31,115.63,12월 말 일괄,2010-12-31,115.63,12월 말 일괄,,,,2011-06-30,123.83,100.0,4.66,9.65,-0.26
DIA,중간선거해,2014,B 사다리 5%,12월 말 일괄 매수,2014-09-30,170.07,2014-10-16,160.98,단계 도달,2014-12-31,177.88,12월 말 일괄,,,,2015-06-30,175.82,100.0,-0.42,3.81,-2.31
DIA,중간선거해,2018,B 사다리 5%,12월 말 일괄 매수,2018-09-28,264.4,2018-10-12,253.3,단계 도달,2018-12-18,237.36,단계 도달,,,,2019-06-28,265.85,100.0,-5.0,5.84,-13.62
DIA,중간선거해,2022,B 사다리 5%,12월 말 일괄 매수,2022-09-30,287.3,2022-12-30,331.33,12월 말 일괄,2022-12-30,331.33,12월 말 일괄,,,,2023-06-30,343.85,100.0,9.72,9.08,-0.08
DIA,중간선거해,1998,B 사다리 5%,현금 유지,1998-09-30,78.1875,,,미체결,,,미체결,,,,1999-06-30,109.375,33.33,0.0,13.3,-1.59
DIA,중간선거해,2002,B 사다리 5%,현금 유지,2002-09-30,76.0,,,미체결,,,미체결,,,,2003-06-30,89.91,33.33,0.0,6.1,-1.74
DIA,중간선거해,2006,B 사다리 5%,현금 유지,2006-09-29,116.74,,,미체결,,,미체결,,,,2007-06-29,134.2,33.33,0.0,4.99,-0.09
DIA,중간선거해,2010,B 사다리 5%,현금 유지,2010-09-30,107.91,,,미체결,,,미체결,,,,2011-06-30,123.83,33.33,0.0,4.92,-0.26
DIA,중간선거해,2014,B 사다리 5%,현금 유지,2014-09-30,170.07,2014-10-16,160.98,단계 도달,,,미체결,,,,2015-06-30,175.82,66.67,-2.75,4.2,-2.31
DIA,중간선거해,2018,B 사다리 5%,현금 유지,2018-09-28,264.4,2018-10-12,253.3,단계 도달,2018-12-18,237.36,단계 도달,,,,2019-06-28,265.85,100.0,-5.0,5.84,-13.62
DIA,중간선거해,2022,B 사다리 5%,현금 유지,2022-09-30,287.3,,,미체결,,,미체결,,,,2023-06-30,343.85,33.33,0.0,6.56,-0.08
DIA,중간선거해,1998,B 사다리 10%,12월 말 일괄 매수,1998-09-30,78.1875,1998-12-31,91.5312,12월 말 일괄,1998-12-31,91.5312,12월 말 일괄,,,,1999-06-30,109.375,100.0,10.77,26.29,-1.59
DIA,중간선거해,2002,B 사다리 10%,12월 말 일괄 매수,2002-09-30,76.0,2002-12-31,83.51,12월 말 일괄,2002-12-31,83.51,12월 말 일괄,,,,2003-06-30,89.91,100.0,6.38,11.21,-8.09
DIA,중간선거해,2006,B 사다리 10%,12월 말 일괄 매수,2006-09-29,116.74,2006-12-29,124.41,12월 말 일괄,2006-12-29,124.41,12월 말 일괄,,,,2007-06-29,134.2,100.0,4.29,10.23,-1.84
DIA,중간선거해,2010,B 사다리 10%,12월 말 일괄 매수,2010-09-30,107.91,2010-12-31,115.63,12월 말 일괄,2010-12-31,115.63,12월 말 일괄,,,,2011-06-30,123.83,100.0,4.66,9.65,-0.26
DIA,중간선거해,2014,B 사다리 10%,12월 말 일괄 매수,2014-09-30,170.07,2014-12-31,177.88,12월 말 일괄,2014-12-31,177.88,12월 말 일괄,,,,2015-06-30,175.82,100.0,3.02,0.35,-2.91
DIA,중간선거해,2018,B 사다리 10%,12월 말 일괄 매수,2018-09-28,264.4,2018-12-18,237.36,단계 도달,2018-12-31,233.2,12월 말 일괄,,,,2019-06-28,265.85,100.0,-7.63,8.85,-8.84
DIA,중간선거해,2022,B 사다리 10%,12월 말 일괄 매수,2022-09-30,287.3,2022-12-30,331.33,12월 말 일괄,2022-12-30,331.33,12월 말 일괄,,,,2023-06-30,343.85,100.0,9.72,9.08,-0.08
DIA,중간선거해,1998,B 사다리 10%,현금 유지,1998-09-30,78.1875,,,미체결,,,미체결,,,,1999-06-30,109.375,33.33,0.0,13.3,-1.59
DIA,중간선거해,2002,B 사다리 10%,현금 유지,2002-09-30,76.0,,,미체결,,,미체결,,,,2003-06-30,89.91,33.33,0.0,6.1,-1.74
DIA,중간선거해,2006,B 사다리 10%,현금 유지,2006-09-29,116.74,,,미체결,,,미체결,,,,2007-06-29,134.2,33.33,0.0,4.99,-0.09
DIA,중간선거해,2010,B 사다리 10%,현금 유지,2010-09-30,107.91,,,미체결,,,미체결,,,,2011-06-30,123.83,33.33,0.0,4.92,-0.26
DIA,중간선거해,2014,B 사다리 10%,현금 유지,2014-09-30,170.07,,,미체결,,,미체결,,,,2015-06-30,175.82,33.33,0.0,1.13,-2.31
DIA,중간선거해,2018,B 사다리 10%,현금 유지,2018-09-28,264.4,2018-12-18,237.36,단계 도달,,,미체결,,,,2019-06-28,265.85,66.67,-5.39,4.18,-8.84
