종목,사이클 위치,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
QQQ,중간선거해,위,-15.0,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,-15.0,뒤 절반,3,31.61,10.54,66.67,1.554,39.16,27.51,23.3,-15.0,1,38.22,-15.0,-15.0,26.68,0,1,137.33,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-15.0,최근 10년,2,23.22,11.61,50.0,2.548,28.18,21.82,38.22,-15.0,1,38.22,-15.0,-15.0,37.64,0,1,112.0,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,-15.0,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-20.0,전체,6,104.51,17.42,83.33,1.245,44.54,38.79,24.9,-20.0,1,44.55,-20.0,-20.0,23.03,0,1,166.17,아니오,2002-09-30,2022-09-30,후보
QQQ,중간선거해,위,-20.0,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,-20.0,뒤 절반,3,26.61,8.87,66.67,1.165,46.19,20.48,23.3,-20.0,1,38.22,-20.0,-20.0,29.12,0,1,144.33,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-20.0,최근 10년,2,18.22,9.11,50.0,1.911,34.35,15.65,38.22,-20.0,1,38.22,-20.0,-20.0,41.17,0,1,122.5,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,-20.0,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-25.0,전체,6,125.02,20.84,100.0,,,,20.84,,0,44.55,0.51,-22.78,17.13,0,0,187.67,아니오,2002-09-30,2022-09-30,후보
QQQ,중간선거해,위,-25.0,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,-25.0,뒤 절반,3,47.12,15.71,100.0,,,,15.71,,0,38.22,0.51,-22.78,19.9,0,0,187.33,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-25.0,최근 10년,2,38.74,19.37,100.0,,,,19.37,,0,38.22,0.51,-22.78,26.67,0,0,187.0,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,-25.0,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-30.0,전체,6,125.02,20.84,100.0,,,,20.84,,0,44.55,0.51,-22.78,17.13,0,0,187.67,아니오,2002-09-30,2022-09-30,후보
