종목,사이클 위치,진입 연도,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
DIA,대선다음해,2005,위,-10.0,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,-10.0,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,-10.0,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,-10.0,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,-10.0,2021-10-01,343.18,2022-05-20,160,308.862,-10.0,-10.0,장중손절
DIA,대선다음해,2025,위,-10.0,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
DIA,대선다음해,2001,위,-12.0,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
DIA,대선다음해,2005,위,-12.0,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,-12.0,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,-12.0,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,-12.0,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,-12.0,2021-10-01,343.18,2022-06-14,176,301.9984,-12.0,-12.0,장중손절
DIA,대선다음해,2025,위,-12.0,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
DIA,대선다음해,2001,위,-15.0,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
DIA,대선다음해,2005,위,-15.0,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,-15.0,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,-15.0,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,-15.0,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,-15.0,2021-10-01,343.18,2022-06-30,187,307.82,-10.3,-13.63,기한청산
DIA,대선다음해,2025,위,-15.0,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
DIA,대선다음해,2001,위,-20.0,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
DIA,대선다음해,2005,위,-20.0,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,-20.0,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,-20.0,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,-20.0,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,-20.0,2021-10-01,343.18,2022-06-30,187,307.82,-10.3,-13.63,기한청산
DIA,대선다음해,2025,위,-20.0,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
DIA,대선다음해,2001,위,-25.0,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
DIA,대선다음해,2005,위,-25.0,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,-25.0,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,-25.0,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,-25.0,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,-25.0,2021-10-01,343.18,2022-06-30,187,307.82,-10.3,-13.63,기한청산
DIA,대선다음해,2025,위,-25.0,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
DIA,대선다음해,2001,위,-30.0,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
DIA,대선다음해,2005,위,-30.0,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,-30.0,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,-30.0,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,-30.0,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,-30.0,2021-10-01,343.18,2022-06-30,187,307.82,-10.3,-13.63,기한청산
DIA,대선다음해,2025,위,-30.0,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
QQQ,중간선거해,2002,위,무손절,2002-10-01,21.98,2003-06-30,187,29.95,36.26,-10.1,기한청산
QQQ,중간선거해,2006,위,무손절,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,무손절,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,무손절,2014-10-01,97.21,2015-06-30,187,107.07,10.14,-7.17,기한청산
QQQ,중간선거해,2018,위,무손절,2018-10-01,186.17,2019-06-28,186,186.74,0.31,-22.94,기한청산
QQQ,중간선거해,2022,위,무손절,2022-10-03,273.53,2023-06-30,186,369.42,35.06,-7.04,기한청산
QQQ,중간선거해,2002,위,-5.0,2002-10-01,21.98,2002-10-03,2,20.881,-5.0,-5.0,장중손절
QQQ,중간선거해,2006,위,-5.0,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,-5.0,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,-5.0,2014-10-01,97.21,2014-10-15,10,91.57,-5.8,-5.8,갭손절
QQQ,중간선거해,2018,위,-5.0,2018-10-01,186.17,2018-10-10,7,176.8615,-5.0,-5.0,장중손절
QQQ,중간선거해,2022,위,-5.0,2022-10-03,273.53,2022-10-13,8,255.16,-6.72,-6.72,갭손절
QQQ,중간선거해,2002,위,-8.0,2002-10-01,21.98,2002-10-04,3,20.2216,-8.0,-8.0,장중손절
QQQ,중간선거해,2006,위,-8.0,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,-8.0,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,-8.0,2014-10-01,97.21,2015-06-30,187,107.07,10.14,-7.17,기한청산
QQQ,중간선거해,2018,위,-8.0,2018-10-01,186.17,2018-10-11,8,171.02,-8.14,-8.14,갭손절
QQQ,중간선거해,2022,위,-8.0,2022-10-03,273.53,2023-06-30,186,369.42,35.06,-7.04,기한청산
QQQ,중간선거해,2002,위,-10.0,2002-10-01,21.98,2002-10-08,5,19.782,-10.0,-10.0,장중손절
QQQ,중간선거해,2006,위,-10.0,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,-10.0,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,-10.0,2014-10-01,97.21,2015-06-30,187,107.07,10.14,-7.17,기한청산
QQQ,중간선거해,2018,위,-10.0,2018-10-01,186.17,2018-10-24,17,167.553,-10.0,-10.0,장중손절
QQQ,중간선거해,2022,위,-10.0,2022-10-03,273.53,2023-06-30,186,369.42,35.06,-7.04,기한청산
QQQ,중간선거해,2002,위,-12.0,2002-10-01,21.98,2003-06-30,187,29.95,36.26,-10.1,기한청산
QQQ,중간선거해,2006,위,-12.0,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,-12.0,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,-12.0,2014-10-01,97.21,2015-06-30,187,107.07,10.14,-7.17,기한청산
QQQ,중간선거해,2018,위,-12.0,2018-10-01,186.17,2018-10-29,20,163.8296,-12.0,-12.0,장중손절
QQQ,중간선거해,2022,위,-12.0,2022-10-03,273.53,2023-06-30,186,369.42,35.06,-7.04,기한청산
QQQ,중간선거해,2002,위,-15.0,2002-10-01,21.98,2003-06-30,187,29.95,36.26,-10.1,기한청산
QQQ,중간선거해,2006,위,-15.0,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,-15.0,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,-15.0,2014-10-01,97.21,2015-06-30,187,107.07,10.14,-7.17,기한청산
QQQ,중간선거해,2018,위,-15.0,2018-10-01,186.17,2018-11-20,36,158.2445,-15.0,-15.0,장중손절
QQQ,중간선거해,2022,위,-15.0,2022-10-03,273.53,2023-06-30,186,369.42,35.06,-7.04,기한청산
QQQ,중간선거해,2002,위,-20.0,2002-10-01,21.98,2003-06-30,187,29.95,36.26,-10.1,기한청산
QQQ,중간선거해,2006,위,-20.0,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,-20.0,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,-20.0,2014-10-01,97.21,2015-06-30,187,107.07,10.14,-7.17,기한청산
QQQ,중간선거해,2018,위,-20.0,2018-10-01,186.17,2018-12-21,57,148.936,-20.0,-20.0,장중손절
QQQ,중간선거해,2022,위,-20.0,2022-10-03,273.53,2023-06-30,186,369.42,35.06,-7.04,기한청산
QQQ,중간선거해,2002,위,-25.0,2002-10-01,21.98,2003-06-30,187,29.95,36.26,-10.1,기한청산
QQQ,중간선거해,2006,위,-25.0,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,-25.0,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,-25.0,2014-10-01,97.21,2015-06-30,187,107.07,10.14,-7.17,기한청산
QQQ,중간선거해,2018,위,-25.0,2018-10-01,186.17,2019-06-28,186,186.74,0.31,-22.94,기한청산
QQQ,중간선거해,2022,위,-25.0,2022-10-03,273.53,2023-06-30,186,369.42,35.06,-7.04,기한청산
QQQ,중간선거해,2002,위,-30.0,2002-10-01,21.98,2003-06-30,187,29.95,36.26,-10.1,기한청산
QQQ,중간선거해,2006,위,-30.0,2006-10-02,40.14,2007-06-29,186,47.6,18.58,-0.65,기한청산
QQQ,중간선거해,2010,위,-30.0,2010-10-01,49.01,2011-06-30,188,57.05,16.4,-1.65,기한청산
QQQ,중간선거해,2014,위,-30.0,2014-10-01,97.21,2015-06-30,187,107.07,10.14,-7.17,기한청산
QQQ,중간선거해,2018,위,-30.0,2018-10-01,186.17,2019-06-28,186,186.74,0.31,-22.94,기한청산
QQQ,중간선거해,2022,위,-30.0,2022-10-03,273.53,2023-06-30,186,369.42,35.06,-7.04,기한청산
QQQ,대선전해,1999,위,무손절,1999-10-01,60.2109,2000-06-30,189,93.4375,55.18,-4.65,기한청산
QQQ,대선전해,2003,위,무손절,2003-10-01,33.15,2004-06-30,187,37.74,13.85,-0.66,기한청산
QQQ,대선전해,2007,위,무손절,2007-10-01,52.0,2008-06-30,188,45.17,-13.13,-21.06,기한청산
QQQ,대선전해,2011,위,무손절,2011-10-03,51.14,2012-06-29,187,64.16,25.46,-2.03,기한청산
QQQ,대선전해,2015,위,무손절,2015-10-01,102.22,2016-06-30,188,107.54,5.2,-7.22,기한청산
