대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,23일 → 말일-3,23,-3,267,0,267,0.17,0.15,55.43,43.82,13.31,-15.5,2.15,1.4,1.37,148,117,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.21,-0.3,-2.07,1.81,0.4026,0.1079,0.5365,0.5704,,False,예
KODEX 200,23일 → 말일-2,23,-2,283,0,283,0.22,0.25,57.95,42.05,16.04,-20.86,2.59,1.63,1.73,164,119,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.19,-0.2,-0.05,0.3,0.4436,0.2218,1.0,0.9481,,False,예
KODEX 200,23일 → 말일-1,23,-1,287,0,287,0.27,0.25,54.36,45.64,15.35,-22.6,2.98,2.11,1.92,156,131,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.16,-0.17,-2.15,2.56,0.4725,0.2627,0.4256,0.3536,,False,예
KODEX 200,23일 → 말일,23,0,287,0,287,0.44,0.36,56.79,41.81,17.4,-9.76,3.12,2.38,2.17,163,120,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.15,-0.12,-0.72,-0.15,0.4965,0.4925,0.8182,1.0,,False,예
KODEX 200,23일 → 말일+1,23,1,287,0,287,0.54,0.51,58.19,41.81,14.63,-12.47,3.27,2.56,2.26,167,120,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.14,-0.1,-0.4,0.7,0.6064,0.6094,0.9421,0.8651,,False,예
KODEX 200,23일 → 말일+2,23,2,287,0,287,0.62,0.43,57.84,41.11,15.33,-12.7,3.69,2.88,2.56,166,118,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.15,-0.17,-0.15,-0.57,0.6134,0.4236,0.9491,0.8442,,False,예
KODEX 200,23일 → 말일+3,23,3,287,0,287,0.69,0.5,55.4,44.25,17.55,-13.27,3.91,3.22,2.47,159,127,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.14,-0.07,-0.74,0.78,0.6284,0.7403,0.8282,0.8192,,False,예
KODEX 200,24일 → 말일-3,24,-3,243,0,243,0.22,0.21,56.38,42.8,10.2,-10.05,1.76,1.28,1.17,137,104,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.17,-0.24,-1.12,0.78,0.5135,0.2138,0.7493,0.8492,,False,예
KODEX 200,24일 → 말일-2,24,-2,274,0,274,0.27,0.25,58.76,41.24,7.17,-15.76,2.15,1.47,1.44,161,113,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.13,-0.2,0.76,-0.5,0.6074,0.2298,0.7962,0.9021,,False,예
KODEX 200,24일 → 말일-1,24,-1,285,0,285,0.32,0.22,53.68,45.61,21.88,-17.61,2.88,2.04,1.69,153,130,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.11,-0.2,-2.82,2.53,0.6014,0.2128,0.2807,0.3497,,False,예
