대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,11,뒤 절반,12,0,12,-0.24,0.38,58.33,41.67,1.92,-4.14,1.94,226,0,226,-0.3,-0.4,43.36,56.19,13.35,-7.14,3.23,0.06,0.78,14.97,-14.53,0.9451,0.3846,0.3786,0.3726,,True,예
KODEX 200,11,최근 10년,10,0,10,-0.45,-0.19,50.0,50.0,1.92,-4.14,2.04,205,0,205,-0.24,-0.42,43.9,55.61,13.35,-7.14,3.37,-0.21,0.23,6.1,-5.61,0.8551,0.8012,0.7423,0.7423,,False,예
KODEX 200,11,최근 5년,5,0,5,-0.93,-1.12,40.0,60.0,1.16,-4.14,2.2,102,0,102,-0.56,-0.61,44.12,55.88,9.23,-7.14,3.5,-0.37,-0.51,-4.12,4.12,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 200,12,앞 절반,12,0,12,1.15,2.42,83.33,16.67,5.02,-10.06,4.24,214,0,214,2.38,2.36,81.78,17.76,12.08,-10.06,3.31,-1.23,0.06,1.56,-1.09,0.1988,0.987,1.0,1.0,,False,예
KODEX 200,12,뒤 절반,12,0,12,1.44,0.57,75.0,16.67,6.61,-2.79,2.7,214,0,214,1.56,0.8,65.89,33.64,12.1,-8.28,3.65,-0.12,-0.23,9.11,-16.98,0.9091,0.6144,0.5455,0.2328,,False,예
KODEX 200,12,최근 10년,10,0,10,1.76,0.73,90.0,10.0,6.61,-2.79,2.87,193,0,193,1.83,0.96,70.98,29.02,12.1,-8.28,3.77,-0.08,-0.23,19.02,-19.02,0.963,0.6104,0.3037,0.3037,,False,예
KODEX 200,12,최근 5년,5,0,5,1.84,1.93,80.0,20.0,6.61,-2.79,3.42,98,0,98,1.11,0.51,57.14,42.86,9.57,-8.28,4.1,0.73,1.42,22.86,-22.86,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 인버스,1,앞 절반,8,0,8,0.71,0.39,62.5,37.5,6.88,-3.12,2.91,140,0,140,-0.23,0.0,48.57,48.57,7.69,-7.55,2.54,0.95,0.39,13.93,-11.07,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 인버스,1,뒤 절반,9,0,9,0.39,-0.42,44.44,55.56,7.12,-7.98,4.81,156,0,156,-0.16,0.5,52.56,46.79,9.9,-18.9,5.7,0.55,-0.92,-8.12,8.76,,,,,표본 부족으로 검정 불가,True,아니오
KODEX 인버스,1,최근 10년,10,0,10,0.29,-0.48,40.0,60.0,7.12,-7.98,4.54,195,0,195,-0.49,-0.42,42.56,56.92,9.9,-18.9,5.2,0.78,-0.06,-2.56,3.08,0.6374,0.8282,1.0,1.0,,True,예
