대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피200 지수,24일 → 말일+3,24,3,440,0,440,0.76,0.48,55.0,44.77,25.68,-16.04,4.78,9457,0,9457,0.68,0.42,54.01,45.94,48.44,-29.51,6.12,0.09,0.05,0.99,-1.17,0.7702,0.8202,0.6583,0.6114,,False,예
코스피200 지수,25일 → 말일-3,25,-3,298,0,298,0.02,0.12,54.03,45.64,9.39,-10.41,2.03,7697,0,7697,-0.11,0.02,50.16,49.72,34.14,-29.18,5.02,0.13,0.1,3.86,-4.08,0.5964,0.5784,0.1838,0.1718,,False,예
코스피200 지수,25일 → 말일-2,25,-2,402,0,402,0.07,0.08,51.99,48.01,10.37,-15.95,2.31,8137,0,8137,-0.08,0.04,50.4,49.5,37.23,-33.56,5.07,0.15,0.04,1.59,-1.49,0.5185,0.7263,0.5035,0.5395,,False,예
코스피200 지수,25일 → 말일-1,25,-1,426,0,426,0.14,0.01,50.23,49.77,17.16,-17.34,3.05,8577,0,8577,0.02,0.08,51.04,48.86,47.92,-34.66,5.27,0.12,-0.07,-0.81,0.9,0.6444,0.7273,0.7832,0.7512,,False,예
코스피200 지수,25일 → 말일,25,0,440,0,440,0.31,0.17,52.73,46.82,19.66,-12.88,3.33,9017,0,9017,0.19,0.13,51.59,48.32,50.15,-26.84,5.32,0.12,0.04,1.14,-1.5,0.6593,0.8052,0.6444,0.5504,,False,예
코스피200 지수,25일 → 말일+1,25,1,440,0,440,0.66,0.55,57.5,42.27,20.72,-10.94,3.67,9457,0,9457,0.53,0.42,54.96,45.0,43.04,-28.31,5.4,0.13,0.13,2.54,-2.73,0.6204,0.5604,0.2617,0.2138,,False,예
코스피200 지수,25일 → 말일+2,25,2,440,0,440,0.72,0.52,57.5,42.5,23.01,-16.27,4.25,9457,0,9457,0.58,0.43,54.86,45.08,45.83,-31.09,5.79,0.14,0.09,2.64,-2.58,0.6384,0.6833,0.2308,0.2338,,False,예
코스피200 지수,25일 → 말일+3,25,3,440,0,440,0.82,0.57,58.41,41.59,25.68,-16.04,4.65,9457,0,9457,0.68,0.42,54.01,45.94,48.44,-29.51,6.12,0.15,0.14,4.4,-4.35,0.6384,0.5345,0.0529,0.0609,,False,예
코스피 종합지수,15일 → 말일-3,15,-3,560,0,560,-0.09,-0.08,49.29,50.71,13.41,-25.45,4.15,10145,0,10145,0.02,0.05,50.61,49.32,32.18,-30.6,4.66,-0.11,-0.14,-1.32,1.39,0.5475,0.3217,0.4995,0.4735,,False,예
코스피 종합지수,15일 → 말일-2,15,-2,560,0,560,-0.06,0.09,51.25,48.75,16.08,-27.7,4.4,10705,0,10705,0.05,0.07,51.11,48.85,34.54,-32.69,4.73,-0.11,0.01,0.14,-0.1,0.5704,0.962,1.0,1.0,,True,예
코스피 종합지수,15일 → 말일-1,15,-1,560,0,560,0.09,0.28,53.39,46.61,16.91,-23.21,4.62,11265,0,11265,0.22,0.18,52.54,47.43,44.84,-32.64,4.93,-0.12,0.1,0.85,-0.82,0.5814,0.4406,0.6444,0.6733,,False,예
코스피 종합지수,15일 → 말일,15,0,560,0,560,0.29,0.26,53.21,46.79,17.96,-22.15,4.73,11825,0,11825,0.41,0.3,54.08,45.88,47.18,-27.14,5.0,-0.12,-0.05,-0.87,0.91,0.5594,0.7792,0.7153,0.6773,,False,예
