대상,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스닥 종합지수,1,30,0,30,0.15,0.31,56.67,43.33,17.73,-8.95,5.71,591,0,591,0.33,0.02,50.25,49.75,51.45,-28.43,8.09,-0.18,0.29,6.41,-6.41,0.8841,0.6983,0.5984,0.5984,,False,예
코스닥 종합지수,2,30,0,30,-1.01,-0.61,43.33,56.67,4.39,-12.42,3.75,542,0,542,0.12,0.2,52.58,47.42,34.02,-12.42,4.71,-1.13,-0.81,-9.25,9.25,0.1688,0.2757,0.3447,0.3447,,False,예
코스닥 종합지수,3,30,0,30,0.71,0.49,56.67,43.33,21.66,-9.4,5.4,618,0,618,0.51,0.88,60.36,39.48,32.85,-21.93,5.73,0.2,-0.39,-3.69,3.85,0.8402,0.5904,0.6983,0.7013,,False,예
코스닥 종합지수,4,30,0,30,-1.25,-1.37,33.33,66.67,7.44,-14.6,4.12,607,0,607,0.18,-0.26,46.62,53.38,46.89,-29.25,7.25,-1.43,-1.11,-13.29,13.29,0.2627,0.0769,0.1988,0.1988,,False,예
코스닥 종합지수,5,30,0,30,1.28,1.51,70.0,30.0,16.93,-12.06,5.08,574,0,574,0.26,0.71,58.19,41.81,24.85,-18.91,5.77,1.02,0.8,11.81,-11.81,0.3107,0.1758,0.2078,0.2078,,False,예
코스닥 종합지수,6,30,0,30,-0.9,-1.25,33.33,66.67,4.88,-7.48,3.05,591,0,591,-0.68,-0.55,44.16,55.67,29.51,-16.38,5.37,-0.23,-0.71,-10.83,11.0,0.8042,0.3457,0.2587,0.2547,,False,예
코스닥 종합지수,7,31,0,31,-1.72,-1.88,41.94,58.06,4.79,-10.17,3.9,659,0,659,-1.18,-0.7,42.79,57.21,14.13,-25.07,5.42,-0.54,-1.18,-0.86,0.86,0.5504,0.1978,1.0,1.0,,False,예
코스닥 종합지수,8,31,0,31,0.91,0.58,51.61,48.39,11.55,-9.02,4.66,641,0,641,-0.13,0.21,52.42,47.58,15.09,-14.16,4.73,1.04,0.37,-0.81,0.81,0.2198,0.6234,1.0,1.0,,False,예
코스닥 종합지수,9,30,0,30,-2.17,-1.55,30.0,70.0,5.22,-12.98,4.29,570,0,570,-1.81,-0.8,40.0,59.82,17.93,-21.55,5.73,-0.36,-0.75,-10.0,10.18,0.7313,0.2348,0.3596,0.2777,,False,예
코스닥 종합지수,10,30,0,30,-1.2,-0.22,50.0,50.0,4.64,-12.76,4.52,594,0,594,-0.97,-0.15,47.31,52.53,19.24,-30.14,6.1,-0.22,-0.08,2.69,-2.53,0.8112,0.9221,0.8621,0.8601,,False,예
코스닥 종합지수,11,30,0,30,0.15,0.4,56.67,43.33,12.61,-16.1,5.14,624,0,624,0.19,0.34,54.33,45.51,22.08,-17.61,5.45,-0.04,0.06,2.34,-2.18,0.995,0.9261,0.8781,0.8781,,False,예
코스닥 종합지수,12,30,0,30,0.45,1.26,63.33,36.67,7.48,-14.3,4.36,578,0,578,0.14,0.85,59.0,41.0,18.86,-26.06,5.97,0.3,0.41,4.34,-4.34,0.7632,0.4855,0.7243,0.7243,,False,예
